hörspielID	titel	kurzbeschreibung	beschreibung	metabeschreibung	veröffentlichungsdatum	unvollständig	cover	urlCoverApple	urlCoverKosmos	urlDreifragezeichen	idAppleMusic	idSpotify	idBookbeat	idAmazonMusic	idAmazon	idYouTubeMusic
1	und der Super-Papagei		Der Auftrag an die drei Detektive hört sich recht harmlos an: Sie sollen einen entflogenen Papagei suchen. Doch kaum beginnen sie mit ihren Nachforschungen, da scheinen sich plötzlich noch einige andere Leute sehr für diesen Papagei zu interessieren. Vielleicht deshalb, weil er lateinische Sprüche zitieren kann? Aber bald geht es nicht mehr nur um einen, sondern um sieben Papageien – und alle sieben führen höchst seltsame Reden. Ob da nicht eine geheime Botschaft dahintersteckt? Jedenfalls sind auch ein jähzorniger Kunsthändler und ein berüchtigter Meisterdieb hinter den Vögeln her.\nDie drei ??? müssen sich ganz schön die hellen Köpfe zerbrechen, ehe sie diesen abenteuerlichen Fall aufklären und eine wohlverdiente Belohnung einheimsen …		1979-10-12	false	1	http://a1.mzstatic.com/us/r30/Music41/v4/c9/3f/e4/c93fe4aa-c385-ed18-2cb3-e4eeff284f5a/source	http://web.archive.org/web/20220115152728if_/https://s3.eu-central-1.amazonaws.com/kosmos.de/media/image/f1/48/5f/0743213880129.jpg	https://dreifragezeichen.de/produktwelt/details/und-der-super-papagei	1092529875	4N9tvSjWfZXx3eHKblYEWQ	534575	B01CURZRWG	B00005QXM1	MPREb_CjlxsM5R4UV
2	und der Phantomsee		Welches Geheimnis verbirgt sich in einem vergilbten Brief und in den nach langer Zeit wieder aufgetauchten Aufzeichnungen des Seemanns Angus Gunn? Wurde tatsächlich in einer lange vergangenen Sturmnacht ein Piratenschatz von einem sinkenden Schiff gestohlen? Das möchten die drei Detektive Justus, Peter und Bob ebenfalls gerne wissen. Den Nachkommen von Gunn ist es bisher nicht gelungen, das Versteck des Schatzes ausfindig zu machen. Professor Shay, den diese Sache für seine Arbeit am Historischen Forschungsinstitut interessiert, hatte bislang auch kein Glück. Immer mehr Personen tauchen auf und machen sich verdächtig. Auch Java-Jim, ein undurchsichtiger Seemann, versucht den drei ??? zuvorzukommen. Und welche Rolle spielt Stebins, der wegen Unterschlagung im Gefängnis war und auf Bewährung frei ist? Der Professor vermutet, dass er und Java-Jim zusammenarbeiten …		1979-10-13	false	1	http://a1.mzstatic.com/us/r30/Music62/v4/87/1c/7f/871c7f1c-fdf1-bed9-bf1b-eb7ab73ec448/source	http://web.archive.org/web/20211227022703if_/https://s3.eu-central-1.amazonaws.com/kosmos.de/media/image/36/60/e9/0743213880228.jpg	https://dreifragezeichen.de/produktwelt/details/und-der-phantomsee	1092530929	0xldqK4Ocdt8dwQSxUzt6x	534626	B01CV1D1CO	B00005Q4WZ	MPREb_dobEq0EsRwd
3	und der Karpatenhund		"Bei mir spukt es!" Mit diesem verzweifelten Ausruf von Mr. Prentice beginnt ein neues Abenteuer für die drei ???. Ein Abenteuer, das immer verwickelter wird und bei dem sogar der sonst so superschlaue Erste Detektiv, Justus Jonas, eine Zeitlang völlig im Dunkeln tappt. – Welche unheimliche Gestalt geht in der Wohnung von Mr. Prentice ein und aus und versetzt diesen in immer größere Ängste und Schrecken? Was ist die Quelle jener gespenstischen Lichtblitze in seinem Arbeitszimmer, sechs Meter über der Straße? Wer hat die wertvolle gläserne Skulptur des Karpatenhundes verschwinden lassen, und wer versucht, allen Mietern den Aufenthalt in dem großen Appartementhaus unmöglich zu machen? Die wenigen Spuren weisen in verschiedene Richtungen, und für unser Detektivtrio gilt es wieder einmal, eine harte Nuss zu knacken. Werden sie Licht in das Dunkel bringen? …		1979-10-14	false	1	http://a1.mzstatic.com/us/r30/Music71/v4/a7/d8/54/a7d85469-a416-93a3-93ba-d8e82be2f8ae/source	http://web.archive.org/web/20220124230925if_/https://s3.eu-central-1.amazonaws.com/kosmos.de/media/image/f9/72/9a/0743213880327.jpg	https://dreifragezeichen.de/produktwelt/details/und-der-karpatenhund-1	1092531572	61OtrnMm1lqoMgMRb1aw7g	534584	B01CV1DGTW	B00005Q4X1	MPREb_P02M4rXCx1u
4	und die schwarze Katze		In einem kleinen Wanderzirkus wittern die drei jungen Detektive Justus, Peter und Bob ihren neuesten Fall. Denn wenn ein finster aussehender Mann mit Gewalt eine hässliche schwarze Stoffkatze – den Hauptgewinn einer Schießbude – an sich bringen will, sie schließlich stiehlt und am nächsten Tag per Zeitungsanzeige nach weiteren Stoffkatzen fahndet, dann muss irgendetwas dahinterstecken. Außerdem: Wieso trifft den Wanderzirkus seit Wochen ein Unglücksfall nach dem anderen? Und wer ist der Unbekannte mit der auffallenden Tätowierung, der immer wieder im Zirkus auftaucht, aber in brenzligen Momenten spurlos verschwindet? Justus und seine Freunde setzen sich ihm und der gestohlenen Katze auf die Spur …		1979-10-15	false	1	http://a1.mzstatic.com/us/r30/Music71/v4/21/ee/57/21ee57b0-0949-8674-8b3d-c2c512c5fbc8/source	http://web.archive.org/web/20211227022701if_/https://s3.eu-central-1.amazonaws.com/kosmos.de/media/image/26/17/20/0743213880426.jpg	https://dreifragezeichen.de/produktwelt/details/und-die-schwarze-katze	1092538644	2w902iYtkf0ipmTImyLlsL	534628	B01CV1AKBO	B00005Q4X3	MPREb_f99mXl75sLR
5	und der Fluch des Rubins		Die drei ??? haben es mit einem seltsamen Vermächtnis zu tun: Onkel Horatio hat seinem Neffen etwas Wertvolles hinterlassen – aber was? Und vor allem wo? Die jungen Kriminalisten Justus, Peter und Bob sehen sich mit viel zu vielen Gipsköpfen, geheimnisvollen Herren und dem Wort August in mindestens fünf Bedeutungen konfrontiert. Werden Justus und seine Freunde mit diesem Fall nicht überfordert?		1979-10-16	false	1	http://a1.mzstatic.com/us/r30/Music62/v4/f5/4e/46/f54e4607-2ea1-d765-632e-8a1723d4ba61/source	http://web.archive.org/web/20220115152720if_/https://s3.eu-central-1.amazonaws.com/kosmos.de/media/image/71/d2/32/0743213880525.jpg	https://dreifragezeichen.de/produktwelt/details/und-der-fluch-des-rubins	1092528575	5YWM39RnabpxekZuHriTam	534586	B01CV1D94O	B00005Q4X4	MPREb_VAk0Fcx0KaM
6	und der sprechende Totenkopf		Peter und Bob halten von Anfang an nicht viel davon, dass ihr Freund Justus auf einer Versteigerung ausgerechnet einen uralten Koffer mit unbekanntem Inhalt ersteigern will. Hätten sie geahnt, welch gefährliche Verwicklungen sich aus dem Besitz des Koffers ergeben würden – sie hätten noch weit heftiger protestiert! Nicht genug damit, dass er neben den Kleidern und Utensilien eines Zauberkünstlers einen Totenkopf enthält; der merkwürdige Schädel kann auch noch sprechen! Ziemlicher Schock für die drei Detektive, die keinesfalls an Spuk glauben. Und kaum beginnen sie, dieses Geheimnis zu ergründen, da ist schon eine ganze Bande Dunkelmänner hinter ihnen und dem Koffer her. Die rätselhaften Sprüche des Totenkopfes führen die drei ??? zu einer wahrsagenden Zigeunerin und dann auf die Spur eines verschollenen Zauberkünstlers und eines unaufgeklärten Bankraubes. Doch als sie den letzten Hinweis zur Lösung des Falles in den Händen halten, scheint alles schiefzugehen …		1979-10-17	false	1	http://a1.mzstatic.com/us/r30/Music71/v4/a7/e7/cb/a7e7cbc3-0ce0-34db-a310-d7b82546f2b0/source	http://web.archive.org/web/20220111212354if_/https://s3.eu-central-1.amazonaws.com/kosmos.de/media/image/aa/ae/38/0743213880624.jpg	https://dreifragezeichen.de/produktwelt/details/und-der-sprechende-totenkopf	1092534669	54eP8BYMR270sTqklv83V0	534673	B01CV1CF62	B00005Q4X5	MPREb_Ptve9f8NomH
7	und der unheimliche Drache		Ein paar entlaufene Hunde zu suchen – naja, das ist normalerweise kein besonders verlockender Auftrag für drei clevere Detektive. Doch kaum beginnen Justus, Peter und Bob mit der Suche, da erzählt ihnen der Hundebesitzer, Mr. Allen, von einem Seeungeheuer, das er an der Küste gesichtet haben will. Wie bitte – Seeungeheuer? Doch Mr. Allen hat nicht gescherzt. Die drei ??? stoßen bei ihren Nachforschungen nicht nur auf einen anscheinend leibhaftigen Drachen, der unheimlich hustet, sondern auch auf ein mysteriöses Höhlenlabyrinth, auf verschiebbare Felswände, bewaffnete Froschmänner und manch andere Merkwürdigkeiten. Wem gehört zum Beispiel die unheimliche Stimme am Telefon? Und was ist dieser Mr. Shelby für ein Mensch? Er nennt sich Spezialist für Tricks und Späße aller Art – aber bald stellt sich heraus, dass man auch mit Tricks und Späßen entschieden zu weit gehen kann …		1979-10-31	false	1	http://a1.mzstatic.com/us/r30/Music62/v4/c0/7a/ba/c07aba56-7363-71d6-72ba-38d2a968e379/source	http://web.archive.org/web/20220115152709if_/https://s3.eu-central-1.amazonaws.com/kosmos.de/media/image/ff/b4/cc/0743213880723.jpg	https://dreifragezeichen.de/produktwelt/details/und-der-unheimliche-drache	1092528550	3nGyW4ETDrDpInYEAQCyYS	534558	B01CV1E37G	B00005Q4X6	MPREb_pRlhfE8HVL8
8	und der grüne Geist		Merkwürdig, dass an diesem Abend anscheinend nicht nur Peter und Bob zufällig das Haus des längst verstorbenen Mathias Green besichtigen, das abgerissen werden soll. Mehr als merkwürdig, nämlich höchst gruselig, wenn dann plötzlich ein grün schimmernder Geist erscheint, was außer den beiden Detektiven immerhin sechs ausgewachsene Männer (oder waren es sieben?) bezeugen können. Justus dagegen findet den Bericht seiner Freunde weder sehr merkwürdig, noch sehr gruselig, sondern sehr verdächtig – und schon bald stecken die drei ??? in den Ermittlungen zu einem neuen Fall. Bald stellt sich heraus, dass irgendjemand hinter einer wertvollen Perlenkette her ist, die in dem Abbruchhaus gefunden wurde. Sie ist dem Unbekannten sogar eine Entführung wert, wie Peter, Bob und ein neuer Freund am eigenen Leibe zu spüren bekommen. Doch Justus wäre nicht Justus, käme ihm nicht gerade rechtzeitig die rettende Erleuchtung …		1979-11-01	false	1	http://a1.mzstatic.com/us/r30/Music22/v4/63/98/91/639891fc-8d20-3c32-78a9-5f12e7919932/source	http://web.archive.org/web/20220123153428if_/https://s3.eu-central-1.amazonaws.com/kosmos.de/media/image/1b/d3/1c/0743213880822.jpg	https://dreifragezeichen.de/produktwelt/details/und-der-grune-geist	1092538504	6MRsf5IcfqJIogaNqtESnh	534694	B01CV1DCNW	B00005Q4X7	MPREb_o7lnsCv7pdf
9	und die rätselhaften Bilder		Allzu viel ist es ja nicht, was der alte Maler Joshua Cameron hinterlassen hat – und obendrein blieb er die Miete schuldig! Aber ein merkwürdiger Kauz muss er gewesen sein: Zeigen doch die 20 nummerierten Ölbilder aus seinem Nachlass alle dasselbe Motiv, nämlich sein Wohnhaus. Dies und die Tatsache, dass sich nicht nur eine Gräfin und ihr Verwalter, sondern auch mehrere Unbekannte und ein Kunsthändler auffällig für die Bilder interessieren, bringen die drei ??? auf den Plan. Sind die Gemälde vielleicht doch nicht ganz so wertlos? Vielleicht besteht da auch irgendein Zusammenhang mit den wirren Worten, die Cameron vor seinem Tod im Fieber gestammelt hatte … Während Justus, Peter und Bob ermitteln, versucht ihr alter Rivale Skinny Norris, ihnen Steine in den Weg zu legen. Das wird am Ende für ihn selbst gefährlich. Nur gut, dass Justus rechtzeitig eine Erleuchtung kommt!		1979-11-02	false	1	http://a1.mzstatic.com/us/r30/Music41/v4/63/ed/85/63ed8571-c32d-cc88-3bf2-6b1921c9023b/source	http://web.archive.org/web/20220111212351if_/https://s3.eu-central-1.amazonaws.com/kosmos.de/media/image/a9/6e/17/0743213880921.jpg	https://dreifragezeichen.de/produktwelt/details/und-die-ratselhaften-bilder	1092538040	0aNqdp5ayuUNsOdUwu8x0b	534715	B01CV1CFDU	B00005Q4X8	MPREb_XzL1YgEYcOH
10	und die flüsternde Mumie		Die drei jungen Detektive Justus, Peter und Bob sind davon überzeugt: Eine tausendjährige Mumie kann nicht flüstern. Aber die Mumie, die im Besitz des berühmten Ägyptologen Professor Yarborough ist, flüstert dennoch, und zwar in einem altägyptischen Dialekt, den niemand verstehen kann. Die drei ??? sind entschlossen, das Geheimnis zu lösen, auch wenn der Fluch der Mumie sie treffen sollte. Ein großer und ein kleiner Libyer, eine abessinische Katze zuviel und Diebe aus Beruf und Leidenschaft legen ihnen dabei allerhand Schwierigkeiten in den Weg. Ob dieser Fall nicht doch zu kompliziert für die drei ??? ist?		1980-03-01	false	1	http://a1.mzstatic.com/us/r30/Music62/v4/db/b7/97/dbb79799-f83a-4f0d-551f-5be2854150d9/source	http://web.archive.org/web/20220115135352if_/https://s3.eu-central-1.amazonaws.com/kosmos.de/media/image/bb/76/44/0743213881027.jpg	https://dreifragezeichen.de/produktwelt/details/und-die-flusternde-mumie	1092529538	4h75QQIxW1etThTuw6vWzg	534564	B01CUS26LA	B00005Q4X9	MPREb_vw0saocJSTr
11	und das Gespensterschloss		Die drei ???, hinter denen sich die jungen Detektive Justus, Peter und Bob verbergen, helfen unwahrscheinliche Ereignisse zu klären. Wer könnte ein Interesse daran haben, den Spuk im Schloss zu veranstalten?\nWer möchte unbedingt Besucher vom Schloss fernhalten? Zusammen mit seinen Freunden versucht Justus dem Geheimnis auf die Spur zu kommen. Werden sie es schaffen, sich als jüngste Detektei ihre Sporen zu verdienen? Wird es ihnen gelingen, das Geheimnis des Gespensterschlosses aufzuklären?		1980-03-02	false	1	http://a1.mzstatic.com/us/r30/Music71/v4/cd/c3/65/cdc36537-ec11-9175-81ba-869e45908266/source	http://web.archive.org/web/20211227022658if_/https://s3.eu-central-1.amazonaws.com/kosmos.de/media/image/f6/90/5e/0743213881126.jpg	https://dreifragezeichen.de/produktwelt/details/und-das-gespensterschloss	1092535180	07EhJ6uxWcQQWKeXJ1e8Lb	534599	B01CV1BC6Q	B00005Q4XB	MPREb_qLEQBcswZYD
12	und der seltsame Wecker		Es gibt Wecker, die klingeln, Wecker, die schnarren, Wecker, die Musik ertönen lassen oder einen mit Glöckchengeläut aus dem Schlaf holen. Einen Wecker aber, der einen furchterregend schrillen Schrei ausstößt, haben Justus, Peter und Bob noch nie erlebt. Und ein solches Unding haben sie soeben auf dem Schrottplatz aufgestöbert! Kein Wunder, dass diese seltsame Konstruktion die Neugier und die Phantasie der drei Detektive anstachelt: Wer hat einen solchen Wecker gebaut und warum? Als sie das herauszufinden versuchen, geraten sie unversehens auf die Spur eines raffinierten Kunstraubes. Doch ehe sie ihn aufklären können, gibt es manche harte Rätselnuss zu knacken …		1980-03-03	false	1	http://a1.mzstatic.com/us/r30/Music41/v4/79/3c/bb/793cbb57-e901-d11c-6d90-671e09e02f3b/source	http://web.archive.org/web/20220104131540if_/https://s3.eu-central-1.amazonaws.com/kosmos.de/media/image/c9/4d/9d/0743213881225.jpg	https://dreifragezeichen.de/produktwelt/details/und-der-seltsame-wecker-2	1092537786	0bSrvyOjOzFoFJfx3uaFgk	534620	B01CUS2QP6	B00005Q4XD	MPREb_BbmRcHYuDce
13	und der lachende Schatten		Schatten pflegen normalerweise zu schweigen.\nHier aber lacht ein Schatten – schrill und furchterregend! Doch nicht nur dieser höchst ungewöhnliche Schatten bereitet Justus, Peter und Bob Kopfzerbrechen. Auf dem Landsitz der alten Miss Sanchez scheinen auch sonst recht merkwürdige Dinge vorzugehen. Was hat es zum Beispiel mit dem Gerücht auf sich, dass ganz in der Nähe ein wertvoller Indianerschatz vergraben sein soll – "an einem Ort, wo kein Mann ihn finden kann"? Ehe die drei Jungen sich versehen, sind sie in einen ebenso gefährlichen, wie mysteriösen Fall verwickelt, denn der Indianerschatz existiert wirklich! Ein skrupelloser Gangster versucht ihn zu erbeuten und setzt dabei nicht nur das Leben von vier Indianerjungen aufs Spiel …		1980-03-31	false	1	http://a1.mzstatic.com/us/r30/Music71/v4/35/d3/83/35d383d4-7cf8-4fc9-4a06-2197ae82f46b/source	http://web.archive.org/web/20220115045338if_/https://s3.eu-central-1.amazonaws.com/kosmos.de/media/image/34/9e/1c/0743213881324.jpg	https://dreifragezeichen.de/produktwelt/details/und-der-lachende-schatten-1	1092534668	2AZ7zFBophWEIuBPjAG60I	534611	B01CV1EMY0	B00005Q4XE	MPREb_BFErzMjyTt6
14	und das Bergmonster		Das neue Abenteuer, das Justus, Peter und Bob zu bestehen haben, fängt ganz harmlos an: mit der Suche nach einem Schlüssel. Doch bald schon häufen sich verdächtige Vorgänge. Warum hat Kathleen Hammond, die angeblich so geschäftstüchtig ist, solche Hemmungen, wenn sie eine Unterschrift leisten soll? Wozu baut ihr Mann hinter dem kleinen Gasthof für die wenigen Gäste ein so großes Schwimmbecken? Auf dem Berg hinter dem Haus entdecken die drei ??? geheimnisvolle Spuren von einem übergroßen Fußabdruck. Dann kommen sie dahinter, dass ein Gast des Hauses es anscheinend auf Kathleens Geld abgesehen hat. Aber trotz vieler Anhaltspunkte wollen die Ermittlungen diesmal nicht recht vorangehen …		1980-04-01	false	1	http://a1.mzstatic.com/us/r30/Music41/v4/05/0b/e1/050be1b1-f45d-df0a-eadd-3209014ed635/source	http://web.archive.org/web/20220124230921if_/https://s3.eu-central-1.amazonaws.com/kosmos.de/media/image/74/55/98/0743213881423.jpg	https://dreifragezeichen.de/produktwelt/details/und-das-bergmonster	1092538533	3O5STjjugoL5cNKfeRuBiU	534714	B01CV1D17Y	B00005Q4XF	MPREb_RRfllbJ6zyP
15	und der rasende Löwe		Zur Zeit langweilen sich Justus, Peter und Bob ziemlich. Doch im richtigen Moment gibt es einen interessanten Fall: Der sonst so sanfte Löwe George – die Attraktion in Jim Halls "Dschungelland", einem Tierpark für Touristen – ist in letzter Zeit so unruhig. Besonders nachts …\nUnd nicht nur George, sondern auch ein Gorilla und sogar ein schwarzer Panther streifen hier plötzlich frei herum. Da kann einem schon etwas mulmig werden. Wer könnte Interesse daran haben, wilde Tiere aus ihren Käfigen zu lassen? Und warum sind Eisenstäbe aus der Trödelhandlung von Justus' Onkel auf einmal so gefragt? Außerdem müssen Justus, Peter und Bob noch so seltsame Typen wie Hank Murphy und Olsen auf die Schliche kommen, und dabei geraten sie prompt in Lebensgefahr. Denn mit wilden Tieren und dunklen Gestalten ist nicht zu spaßen …		1980-04-02	false	1	http://a1.mzstatic.com/us/r30/Music62/v4/9f/c3/e3/9fc3e3cc-6b71-2f31-ccda-8d0563427859/source	http://web.archive.org/web/20220115045300if_/https://s3.eu-central-1.amazonaws.com/kosmos.de/media/image/c0/3d/51/0743213881522.jpg	https://dreifragezeichen.de/produktwelt/details/und-der-rasende-lowe	1092533811	2dQYcaTRh5qEYk2oH7WoBC	534635	B01CV1DYQW	B00005Q4XG	MPREb_TsRssjEBsGT
16	und der Zauberspiegel		Justus, Peter und Bob sind ja glücklicherweise schon allerlei gewohnt. Wenn also jemand erzählt, in einem riesigen, spanischen Spiegel, der Mrs. Darnley gehört, spuke es, und wenn dann nachts in Mrs. Darnleys Haus seltsame Geräusche zu hören sind, dann kriegt zumindest Justus weniger eine Gänsehaut, als vielmehr Lust, der Sache auf den Grund zu gehen. Kaum beginnen die drei ??? zu ermitteln, stoßen sie auch schon auf jede Menge Verdächtiges: Ein Spanier, der sich für den Spiegel interessiert, wird zusammengeschlagen; der Präsident des Staates Ruffino weiß Geheimnisvolles vom Spiegel und warnt vor einem gewissen Juan Gomez; politische Intrigen scheinen sich am Spiegel zu entzünden – schließlich wird sogar ein Junge entführt! Und das alles wegen eines alten Spiegels? Sehr merkwürdig! Doch unsere drei cleveren Detektive werden die Wahrheit herausfinden – wetten?		1980-10-01	false	1	http://a1.mzstatic.com/us/r30/Music22/v4/1d/6e/77/1d6e77a2-74de-ec6f-f1a7-00e72c4c5587/source	http://web.archive.org/web/20220115045334if_/https://s3.eu-central-1.amazonaws.com/kosmos.de/media/image/42/6a/06/0743213881621.jpg	https://dreifragezeichen.de/produktwelt/details/und-der-zauberspiegel	1092539968	16dOhg07DVqoSxlS7ToLM5	534685	B01CV1AFPK	B00005Q4XH	MPREb_aT0GPmm8zrt
17	und die gefährliche Erbschaft		Der geheimnisvolle Einsiedler Marcus Towne, genannt Dingo, hinterlässt ein mysteriöses Testament. Es ist in Form einer mehrteiligen Rätselaufgabe abgefasst – das Vermögen soll demjenigen zufallen, der das Rätsel um diesen seltsamen "letzten Willen" löst. Warum setzte Dingo ein so verrücktes Testament auf? Wollte er damit eventuellen Erbschleichern einen Stein in den Weg legen? Die rechtmäßigen Erben wenden sich zusammen mit dem Rechtsanwalt an die drei ??? und bitten um Hilfe beim Rätsellösen. Rätsel für Rätsel beginnen nun die drei ??? zu entwirren. Sie stellen bald fest, dass man leicht in die Irre geht, wenn ein Rätsel- und Ränkeschmied zur Nachwelt spricht. Aber nicht nur das bereitet ihnen Kopfzerbrechen. Seit sie den Fall übernommen haben, sind sie von lauernden Gefahren und ungeahnten Bedrohungen umgeben …		1980-10-02	false	1	http://a1.mzstatic.com/us/r30/Music71/v4/c3/d1/54/c3d154da-ea87-eac1-9289-06338ff91f88/source		https://dreifragezeichen.de/produktwelt/details/und-die-gefahrliche-erbschaft-1	1092539865	0CMsNalUakIcv6znyVLALr	534660	B01CV1DGV0	B00005Q4XJ	MPREb_X8GkYpVqSuR
18	und die Geisterinsel		Ein Flug quer über den amerikanischen Kontinent – das ist eine nicht zu verachtende Abwechslung für die drei jungen Detektive Justus, Peter und Bob. Wenn außerdem ein Auftrag dabei herausspringt, umso besser: Sie sollen nämlich klären, wer hinter den Diebstählen und Sabotageakten steckt, die einer Filmgesellschaft auf Skeleton Island zu schaffen machen. Auch sonst gibt es einige merkwürdige Dinge auf dieser Insel. Die Einheimischen sind von einer alten Geistergeschichte beunruhigt, munkeln von einem verschollenen Piratenschatz, der im Meer versenkt worden sein soll, und beargwöhnen misstrauisch den jungen Griechen Chris mit seinem kranken Vater. Sollten vielleicht diese "Fremden" für die Diebstähle bei der Filmgesellschaft verantwortlich sein?		1980-10-03	false	1	http://a1.mzstatic.com/us/r30/Music22/v4/c6/cb/bf/c6cbbf0e-39a0-59c0-1e63-897891edc918/source	http://web.archive.org/web/20220124230941if_/https://s3.eu-central-1.amazonaws.com/kosmos.de/media/image/d9/e0/b4/0743213881829.jpg	https://dreifragezeichen.de/produktwelt/details/und-die-geisterinsel-1	1092529766	1yqICFWBL4l7fJkrFWvfWL	534513	B01CUS0VYO	B00005Q4XK	MPREb_ZSlMg6bNpmj
19	und der Teufelsberg		Auch wenn man nicht an Gespenster glaubt, bei einem abendlichen Spaziergang durchs Tal der Wehklagen können einem schon die Haare zu Berge stehen. Klar, dass unsere drei Detektive dem schauerlichen Heulen, dem das Tal seinen Namen verdankt, nachgehen müssen. Das jeden Abend einsetzende Stöhnen scheint aus einer Höhle im Teufelsberg zu kommen, doch sobald man sie betritt, herrscht Ruhe. Sollte an den Gerüchten, dass El Diablo, ein offiziell totgesagter Bandit, dort umgeht, doch etwas dran sein?\nProfessor Walsh, der wie Justus, Peter und Bob auf der Mendoza-Ranch weilt, ist genauso wenig abergläubisch wie die Jungen. Die Landarbeiter aber lassen sich mehr und mehr nervös machen. Wer nur versucht mit allen Mitteln, Eindringlinge vom Teufelsberg fernzuhalten – und warum? Selbst Justus tappt im Dunkeln. Bis er ein winziges Steinchen in der Höhle findet, das alles andere ist als ein gewöhnlicher Stein …		1980-10-04	false	1	http://a1.mzstatic.com/us/r30/Music71/v4/d3/f9/6d/d3f96d65-f0ca-6f0d-df3f-99a4c4001ad1/source	http://web.archive.org/web/20220111212325if_/https://s3.eu-central-1.amazonaws.com/kosmos.de/media/image/c3/80/88/0743213881928.jpg	https://dreifragezeichen.de/produktwelt/details/und-der-teufelsberg	1092537787	3JqJ2zIt3UzKug7onmbmAo	534651	B01CV1B6H6	B00005Q4XL	MPREb_6LhdNrDblu5
20	und die flammende Spur		Warum sind die beiden undurchsichtigen Fremden, sowie ein weiterer Verdächtiger, alle hinter dem Symbol eines zweiköpfigen Adlers her – so einem Adler, wie ihn der spurlos verschwundene alte Töpfer – genannt "der Potter" – um den Hals hängen hat. Flammende Fußspuren im Potterschen Haus bringen die Tochter des Potters an den Rand der Hysterie. Mit gewohntem Forscherdrang und üblicher Tatkraft versuchen die drei ??? hinter das Geheimnis zu kommen.		1980-10-09	false	1	http://a1.mzstatic.com/us/r30/Music71/v4/9c/22/48/9c22487b-4a6d-cdcd-73a1-9dedb817a74b/source	http://web.archive.org/web/20220106180923if_/https://s3.eu-central-1.amazonaws.com/kosmos.de/media/image/dd/c7/0a/0743213882024.jpg	https://dreifragezeichen.de/produktwelt/details/und-die-flammende-spur	1092533372	5ilbdbGu5eQRUIsbslyiLe	534532	B01CUS18ZU	B00005Q4XM	MPREb_77xOrc1sEuN
21	und der tanzende Teufel		Eine Serie Diebstähle in Rocky Beach – und jedesmal fehlt einer jener verbreiteten schwarzen Bordkoffer. Die drei ??? nehmen sich dieses ominösen Falls an. Und immer dann, wenn sie gerade eine neue Spur verfolgen, taucht die unheimlich reale Gestalt eines "tanzenden Teufels", eines Dämons aus einer fremden Kultur mit schrecklichen Drohungen und Feuer und Rauch auf …		1980-10-10	false	1	http://a1.mzstatic.com/us/r30/Music62/v4/69/73/31/6973314b-daf9-0e89-4134-07b1f373be03/source	http://web.archive.org/web/20220106180930if_/https://s3.eu-central-1.amazonaws.com/kosmos.de/media/image/bf/b9/7c/0743213882123.jpg	https://dreifragezeichen.de/produktwelt/details/und-der-tanzende-teufel	1092530740	2koZEkq7vQnHjMP73gVXCo	534590	B01CV1BRDO	B00005Q4XN	MPREb_TGfi05lG5VC
22	und der verschwundene Schatz		Gerade als Justus, Peter und Bob eine Ausstellung japanischer Kunstschätze besuchen, wird dort ein besonders wertvoller juwelenbesetzter Gürtel gestohlen. Zu dumm, dass der japanische Sicherheitsbeamte die drei jungen Detektive nicht bei der Aufklärung des dreisten Diebstahls helfen lassen will! Aber dafür gibt es einen neuen, ziemlich mysteriösen Fall für sie: Eine alte Dame wird angeblich Tag und Nacht von kleinen "Gnomen" belästigt. Versteht sich, dass die drei ??? nicht an Gnomen glauben – aber was sind es dann für merkwürdige kleine Gestalten, die sie mit eigenen Augen beobachten?\nWährend sie noch rätseln, sitzen sie plötzlich in der Falle und werden ohnmächtige Zeugen eines raffinierten Bankraubes …		1981-05-13	false	1	http://a1.mzstatic.com/us/r30/Music71/v4/3b/78/bd/3b78bd6b-42d9-ce61-5d48-51cd97dc1481/source	http://web.archive.org/web/20220115152724if_/https://s3.eu-central-1.amazonaws.com/kosmos.de/media/image/2b/74/1b/0743213882222.jpg	https://dreifragezeichen.de/produktwelt/details/und-der-verschwundene-schatz	1092530263	7i50aK2wKvszWNnay4DtxP	534552	B01CUS2X6I	B00005Q4XO	MPREb_7tMvVQ1Hp5e
23	und das Aztekenschwert		Die Brüder Pico und Diego Alvaro verlieren durch ein Feuer ihren ganzen Besitz. Eine wahrhaft unrealistische, aber von den drei ??? gehegte Hoffnung könnte die Lage zum Guten wenden: Wenn sich nämlich das juwelenbesetzte sogenannte "Aztekenschwert" finden ließe, das ein Alvaro-Ahn seinerzeit von Cortez persönlich geschenkt bekam. Mühselige und teilweise lebensgefährliche Ermittlungen – und immer verfolgt von undurchsichtigen Fremden – bringen die drei ??? und Diego auf eine heiße Spur. Wird es den vier Jungen gelingen, noch vor ihren Verfolgern das legendäre Cortez-Schwert zu finden?		1981-05-14	false	1	http://a1.mzstatic.com/us/r30/Music62/v4/77/07/ad/7707ad56-d0ce-2603-164d-1fab8c7f40ee/source	http://web.archive.org/web/20220111023021if_/https://s3.eu-central-1.amazonaws.com/kosmos.de/media/image/bb/ba/9d/0743213882321.jpg	https://dreifragezeichen.de/produktwelt/details/und-das-aztekenschwert	1092538233	67qFOAxbhNRHEIeOjQ9Zkp	534631	B01CV1BDGU	B00005Q4XP	MPREb_SJmOMNBOcA9
