hörspielID	titel	kurzbeschreibung	beschreibung	metabeschreibung	veröffentlichungsdatum	unvollständig	cover	urlCoverApple	urlCoverKosmos	urlDreifragezeichen	idAppleMusic	idSpotify	idBookbeat	idAmazonMusic	idAmazon	idYouTubeMusic
75	Die Spur des Raben		Peter traut seinen Augen nicht: Am frühen Abend klettert ein schwarzer Schatten auf dem Dach des Hotels herum. Instinktiv reißt Peter die Kamera hoch und drückt ab. Was er wenig später in den Händen hält ist eine Sensation: die erste Aufnahme des "Raben", des dreisten Juwelendiebes von Los Angeles. Doch mit der Veröffentlichung der Fotos wird der unheimliche Balancekünstler auf die drei Jungs aus Rocky Beach aufmerksam. Er führt sie in die Irre. Ein mörderischer Wettlauf gegen die Zeit beginnt.		1997-07-14	false	1	http://a1.mzstatic.com/us/r30/Music30/v4/2f/f0/41/2ff04107-2622-c542-c5c5-48e7b21ae213/source	http://web.archive.org/web/20220114180134if_/https://s3.eu-central-1.amazonaws.com/kosmos.de/media/image/23/27/c0/0743214284926.jpg	https://dreifragezeichen.de/produktwelt/details/die-spur-des-raben	1112955599	2IqfdlQamN3vCWN3CKLEVI	534697	B01FIM7UI4	B000025JQJ	MPREb_TyxIQyunzqR
76	Stimmen aus dem Nichts		"Meine Schwester will mich in den Tod treiben!" Die alte Dame, die neben Justus im Wartezimmer sitzt, ist am Rande eines Nervenzusammenbruchs. Der erste Detektiv wittert einen neuen Fall für die drei ??? und bietet seine Hilfe an. Doch was er dann erfährt, lässt ihn erbleichen. Mrs. Holligan wird von ihrer Schwester bedroht, verfolgt, in den Wahnsinn getrieben. Doch ihre Schwester wurde vor drei Monaten beerdigt. Justus, Peter und Bob müssen sich bei der Aufklärung des Falles beeilen. Mrs. Holligan ist schwer herzkrank, jede neue Attacke kann ihrem Leben ein Ende setzen. Doch wer steckt wirklich hinter den mysteriösen Stimmen aus dem Jenseits?		1997-09-08	false	1	http://a1.mzstatic.com/us/r30/Music18/v4/69/c1/0d/69c10d68-81ae-f0d8-7280-891636c946b1/source	http://web.archive.org/web/20220111212319if_/https://s3.eu-central-1.amazonaws.com/kosmos.de/media/image/06/64/bc/0743214285022.jpg	https://dreifragezeichen.de/produktwelt/details/stimmen-aus-dem-nichts-1	1112958296	6RDPGc2budsdTw1lj8f2O5	534667	B01FIMB8EQ	B0000263M1	MPREb_95bq2dcVgBD
77	Pistenteufel		Karen Sulzenberger, Topstar der deutschen Skinationalmannschaft, hat Angst. Mysteriöse Drohbriefe machen ihr das Leben zur Hölle! Wer versucht die attraktive Läuferin aus ihrer Erfolgsspur zu stoßen? Auf Skiern und Snowboards nehmen die drei ??? in den Bergen des amerikanischen Weltcup-Ortes Vail die Ermittlungen auf. Doch das erste Attentat auf der Piste können auch die Detektive nicht verhindern. Mit 120 Sachen rast Karen auf ein tödliches Hindernis zu …		1997-12-08	false	1	http://a1.mzstatic.com/us/r30/Music30/v4/3d/52/de/3d52de30-7d6c-87e7-d179-75b4693d12ad/source	http://web.archive.org/web/20220111212308if_/https://s3.eu-central-1.amazonaws.com/kosmos.de/media/image/f7/48/75/0743215184027.jpg	https://dreifragezeichen.de/produktwelt/details/pistenteufel	1112957080	3CMN8Y4kjoG4sFwlOEpfsV	534662	B01FILZBRC	B000026ENI	MPREb_dMH9jiYMcbo
78	Das leere Grab		Fassungslos starrt Justus auf das Foto, das ein Freund erst vor wenigen Tagen in Venezuela geschossen hat. Die Frau auf dem Bild ist Catherine Jonas, Justus' Mutter. Doch wie ist das möglich? Seine Eltern sind seit über zehn Jahren tot! Ihr Flugzeug stürzte vor der Küste Südamerikas ins Meer. Gab es damals doch Überlebende des Flugzeugabsturzes? Aber warum haben sich seine Eltern dann nie bei ihm gemeldet? Der erste Detektiv reagiert kopflos. Ohne zu überlegen, bucht er einen Flug und landet in der gefährlichsten Stadt Venezuelas: der Diamantenstadt Suerte.		1998-01-12	false	1	http://a1.mzstatic.com/us/r30/Music18/v4/6d/1f/8e/6d1f8e56-10c7-bbec-4137-261a8a08564c/source	http://web.archive.org/web/20220123153405if_/https://s3.eu-central-1.amazonaws.com/kosmos.de/media/image/b6/f9/32/0743215184126.jpg	https://dreifragezeichen.de/produktwelt/details/das-leere-grab	1112959233	6t7Y1H4dUM0d4JycenVskN	534710	B01FIM4YGA	B000025GYB	MPREb_gQObtteP7BK
79	Im Bann des Voodoo		Eine Strohpuppe, deren Anblick Herzrasen und Atemnot auslöst, uralte Rituale und magische Kulte, und das mitten im sonnigen Kalifornien! Al Parker, der erfolgreiche Musikproduzent, kann darüber nur lachen. Doch dann gerät er selbst in den Bannkreis des Voodoo: Die Untoten fordern seinen Tod. Justus, Peter und Bob, die drei Detektive aus Rocky Beach, tun ihr Bestes, aber sie kämpfen gegen einen mächtigen Gegner.		1998-03-09	false	1	http://a1.mzstatic.com/us/r30/Music20/v4/64/00/05/640005b4-5953-5a61-7bed-bf890128b4d1/source	http://web.archive.org/web/20220115045241if_/https://s3.eu-central-1.amazonaws.com/kosmos.de/media/image/c7/0b/ef/0743215476122.jpg	https://dreifragezeichen.de/produktwelt/details/im-bann-des-voodoo	1112961664	1rDYlXZy6vN4wqqQ6buqOr	534683	B01FIM0OUK	B000025HPJ	MPREb_Ljjo9h7mEUM
80	Geheimakte Ufo		Bob und Peter stockt der Atem. Durch die Bäume schimmert unwirklich grelles Licht – ein Raumschiff ist in den Wäldern um Rocky Beach gelandet. Für Peter steht fest: Die Außerirdischen übernehmen die Macht auf der Erde! Justus, der Kopf des Detektivtrios, reagiert gelassen auf die Ufo-Berichte seiner Freunde. Doch dann taucht ein weiterer Augenzeuge auf und der Erste Detektiv wird stutzig. Nochmals untersuchen die drei ??? den Landeplatz des Raumschiffs, ohne zu ahnen, dass sie bereits erwartet werden …		1998-05-11	false	1	http://a1.mzstatic.com/us/r30/Music30/v4/4e/61/8d/4e618d22-8560-a589-0470-b558b1a152a0/source	http://web.archive.org/web/20220104131538if_/https://s3.eu-central-1.amazonaws.com/kosmos.de/media/image/09/85/d4/0743215476221.jpg	https://dreifragezeichen.de/produktwelt/details/geheimakte-ufo	1112960657	4izXuApLzBWtWHrFqgcrxL	534706	B01FIM7OV2	B000024C9K	MPREb_gZ4gGnC2RHn
81	Verdeckte Fouls		Erfolgreiche Wochen liegen hinter einem deutschen Fußball-Team. Nun wollen sich die Spieler unter der Sonne Kaliforniens auf die Rückrunde vorbereiten. Aber schon bald wird die Harmonie durch merkwürdige Vorgänge erschüttert: Ein Unbekannter treibt in den Mannschaftsräumen sein böses Spiel. Welches Ziel verfolgt er mit dem Zerschneiden von Trikots und dem Aufsprayen geheimnisvoller Symbole? Die drei ??? nehmen die Ermittlungen auf.		1998-06-08	false	1	http://a1.mzstatic.com/us/r30/Music30/v4/ae/c5/9e/aec59ec2-7f1a-70f8-6f7d-9c2c0a11f067/source	http://web.archive.org/web/20220114180128if_/https://s3.eu-central-1.amazonaws.com/kosmos.de/media/image/a8/64/09/0743215476320.jpg	https://dreifragezeichen.de/produktwelt/details/verdeckte-fouls	1112967702	2s5u6hCaMpTIvZtBRvQzha	534653	B01FIMAUKO	B000024B03	MPREb_MeygzPs9ST6
82	Die Karten des Bösen		Milva Summer glaubt an Schicksalsmächte. Bis die Karten eines Tages ihr nahes Ende prophezeien. In ihrer Todesangst wendet sie sich an Justus, Peter und Bob und bittet die jungen Detektive um Schutz vor dem drohenden Unglück. Können die drei ??? den Kräften des Tarots trotzen? Ist die Hollywood-Diva dem Tode geweiht?		1998-10-12	false	1	http://a1.mzstatic.com/us/r30/Music30/v4/dd/b1/8e/ddb18e64-6121-1cbc-dc61-057c37a6313a/source	http://web.archive.org/web/20220114180132if_/https://s3.eu-central-1.amazonaws.com/kosmos.de/media/image/87/c8/fa/0743215476429.jpg	https://dreifragezeichen.de/produktwelt/details/die-karten-des-bosen	1112971448	7iysTnwaaFrPPWAuUyyi0c	534721	B01FIM52F2	B0000245M1	MPREb_Wo4uFdKdbYm
83	Meuterei auf hoher See		Statt sich bei einem gemütlichen Segeltörn im pazifischen Ozean die Sonne auf den Bauch brennen zu lassen, geraten Justus, Peter und Bob, die drei Detektive aus Rocky Beach, auf hoher See in eine Meuterei. Binnen Minuten gerät das Forschungsschiff "Wavedancer" in die Gewalt eines fanatischen Wissenschaftlers. Unter seinem Kommando steuert das Schiff in unbekannte Gewässer.		1999-02-08	false	1	http://a1.mzstatic.com/us/r30/Music30/v4/44/fc/d7/44fcd768-ec87-136e-c774-1dfa37064746/source	http://web.archive.org/web/20220111022954if_/https://s3.eu-central-1.amazonaws.com/kosmos.de/media/image/43/8d/81/0743215476528.jpg	https://dreifragezeichen.de/produktwelt/details/meuterei-auf-hoher-see	1112967082	3yofHdHiOLtVZlxWCZ4XBB	534717	B01FIMB2O2	B000023YP0	MPREb_oqqrdwv7xkv
84	Musik des Teufels		Was ist nur mit Bob los? Warum reagiert der sonst so ausgeglichene Detektiv plötzlich aggressiv und gereizt auf seine Freunde?\nEs scheint, als stünde er unter dem Einfluss einer fremden Macht. Justus und Peter beschatten ihren Freund und folgen ihm unauffällig in den Konzertsaal eines Privathauses. Dort lauscht Bob gebannt der Musik eines virtuosen Geigenspielers. Und bevor sie wissen, wie ihnen geschieht, werden auch Justus und Peter von den Klängen gleichsam verhext. Können sie sich dem Bann des Teufelsgeigers entziehen, ehe es zu spät ist?		1999-02-08	false	1	http://a1.mzstatic.com/us/r30/Music60/v4/9d/94/85/9d948543-4e64-202b-3008-38de66ff3513/source	http://web.archive.org/web/20220111023018if_/https://s3.eu-central-1.amazonaws.com/kosmos.de/media/image/d8/13/df/0743215974321.jpg	https://dreifragezeichen.de/produktwelt/details/musik-des-teufels	1112968659	3bhsXwKIDwVK5LTkDCICp0	534663	B01FIM4PPU	B000023YP2	MPREb_Wi4MD2mFNJG
