sprechrolleID	personID	pseudonymID
232	4	
233	5	
234	6	
235	34	
236	33	
237	58	
238	77	
239	72	
240	17	
241	67	
242	78	
243	74	24
244	79	
245	37	
246	3	
247	4	
248	5	
249	6	
250	71	
251	55	
252	80	
253	81	
254	78	
255	82	
256	67	
257	32	
258	77	
259	3	
260	4	
261	5	
262	6	
263	31	
264	16	
265	58	
266	78	
267	72	
268	37	
269	30	
270	17	
271	14	
272	74	
273	3	
274	4	
275	5	
276	6	
277	76	
278	26	25
279	46	
280	32	
281	83	26
282	80	
283	77	
284	81	
285	71	27
286	74	
287	75	
288	3	
289	4	
290	5	
291	6	
292	65	
293	84	
294	22	
295	11	
296	13	
297	16	
298	85	
299	40	5
300	86	28
301	34	29
302	17	
303	43	
304	3	
305	4	
306	5	
307	6	
308	14	
309	86	30
310	87	
311	66	
312	44	5
313	25	31
314	40	
315	84	13
316	34	32
317	40	33
318	40	
319	3	
320	4	
321	5	
322	6	
323	88	
324	89	
325	25	
326	65	
327	40	34
328	84	
329	53	
330	22	5
331	16	
332	34	
333	43	
334	14	
335	3	
336	4	
337	5	
338	6	
339	90	
340	16	
341	91	
342	63	
343	92	
344	14	
345	40	
346	93	
347	72	
348	94	
349	86	
350	3	
351	4	
352	5	
353	6	
354	90	
355	40	
356	71	
357	17	
358	47	
359	50	
360	32	
361	27	
362	3	
363	4	
364	5	
365	6	
366	12	
367	78	
368	65	
369	85	
370	32	
371	92	
372	89	
373	91	35
374	84	
375	3	
376	4	
377	5	
378	6	
379	14	
380	16	
381	31	
382	43	
383	48	36
384	84	37
385	91	
386	95	5
387	96	
388	97	
389	98	
390	3	
391	4	
392	5	
393	6	
394	77	
395	95	
396	48	
397	84	
398	32	
399	91	38
400	44	
400	97	
401	98	
402	61	
402	32	
403	77	
404	3	
405	4	
406	5	
407	6	
408	99	
409	100	39
410	77	
411	10	
412	101	
413	102	
414	67	
415	58	40
416	85	
417	34	
418	77	
419	3	
420	4	
421	5	
422	6	
423	100	
424	102	41
425	37	
426	36	
427	10	
428	34	42
429	58	
430	103	
431	31	
432	77	
433	3	
434	4	
435	5	
436	6	
437	13	
438	43	
439	99	
440	104	
441	84	
442	94	
443	105	
444	102	43
445	97	
446	31	
447	3	
448	4	
449	5	
450	6	
451	79	
452	106	
453	107	
454	108	
455	109	
456	110	
457	3	
458	4	
459	5	
460	6	
461	93	
462	111	44
463	111	
464	108	
465	112	
466	110	
467	89	
468	14	
469	113	
470	40	
471	14	
472	92	
473	113	
474	3	
475	4	
476	5	
477	6	
478	76	
479	106	
480	71	
481	31	
482	40	
483	115	
483	92	
484	3	
485	4	
486	5	
487	6	
488	116	
489	117	
490	47	
491	118	
492	78	
493	77	
494	97	
495	119	
496	3	
497	4	
498	5	
499	6	
500	37	
501	120	
502	121	
503	122	
504	63	
505	9	
506	3	
507	4	
508	5	
509	6	
510	111	
511	47	
512	123	
513	3	
514	4	
515	5	
516	6	
517	121	
518	96	
519	17	
520	124	
521	122	
522	125	
523	126	
524	111	
525	14	
526	78	
527	95	
528	127	
529	32	
529	24	
530	3	
531	4	
532	5	
533	6	
534	121	
535	108	
536	125	
537	48	
538	100	
539	129	
540	130	
541	106	
542	3	
543	4	
544	5	
545	6	
546	132	
547	37	
548	121	
549	133	
550	40	
551	134	
552	78	
553	71	
554	130	
555	119	
556	135	
557	136	
558	3	
559	4	
560	5	
561	6	
562	137	
563	95	
564	138	
565	139	
566	130	
567	140	
568	141	
569	135	
570	97	
571	142	
572	56	
573	143	
574	144	
575	145	
576	3	
577	4	
578	5	
579	6	
580	121	
581	96	
582	143	
583	145	
584	144	
585	51	45
586	146	
587	11	
588	3	
589	4	
590	5	
591	6	
592	147	
593	110	
594	148	46
595	149	
596	150	47
597	97	
598	151	
599	111	48
600	85	
601	3	
602	4	
603	5	
604	6	
605	152	
606	153	
607	154	
608	155	
609	156	
610	150	
611	157	
612	158	
613	140	
614	159	
615	3	
616	4	
617	5	
618	6	
619	97	
620	161	
621	162	
622	120	
623	163	
624	71	
625	164	
626	21	
627	3	
628	4	
629	5	
630	6	
631	111	
632	166	
633	167	
634	159	
635	108	
636	168	
637	148	
638	140	
639	3	
640	4	
641	5	
642	6	
643	170	
644	157	49
645	171	
646	22	
647	172	
648	173	
649	174	
650	3	
651	4	
652	5	
653	6	
654	175	
655	106	
656	157	
657	51	
658	64	
659	176	
660	111	
661	3	
662	4	
663	5	
664	6	
665	37	
666	4	
667	149	
668	112	
669	3	
670	4	
671	5	
672	6	
673	177	
674	171	
675	63	
676	133	
677	178	
678	179	
679	8	
680	120	
681	180	
682	163	
683	181	
684	157	
685	3	
686	4	
687	5	
688	6	
689	182	
690	11	
691	183	
692	184	
693	175	
694	108	
695	16	
696	185	
697	157	
698	3	
699	4	
700	5	
701	6	
702	182	
703	144	50
704	19	
705	168	
706	187	
707	32	
708	177	
709	188	
710	189	
711	3	
712	4	
